Date (date),Country Name (country_name),ISO Alpha 3 Code (alpha_3_code),Country Code (country_code),Region Name (region_name),Region Code (region_code),Sub-Region Name (subregion_name),Sub Region Code (subregion_code),Harmonized System Code (hs_code),Commodity Name (commodity),Quantity unit (unit),Commodity quantity (value_qt),Quantity value (INR) (value_rs),Quantity value (USD) (value_dl)
"2025-07-01","Nepal","NPL","524","Asia","142","Southern Asia","34","52052310","Grey","Kgs",87471,2.11,0.25
"2018-02-01","Turkiye","TUR","792","Asia","142","Western Asia","145","73062919","Other","Kgs",0.02,0.02,""
"2018-09-01","China","CHN","156","Asia","142","Eastern Asia","30","57011000","*Carpets And Other Textile Floor Coverings Of Wool Or Fine Animal Hair, Knotted","Sqm",1.34,104.22,0.14
"2025-05-01","Thailand","THA","764","Asia","142","South-eastern Asia","35","32041132","Disperse Red 4(Celliton Fast Pink Rf)","Kgs",460,0.09,0.01
"2015-04-01","Hong Kong","HKG","344","Asia","142","Eastern Asia","30","62179010","Cotton Cuffs And The Like Of Cotton","Kgs",0.01,0.46,0
"2024-04-01","Bahrain","BHR","48","Asia","142","Western Asia","145","12060090","Other Sunflower Seeds W/N Broken","Kgs",3990,0.02,0
"2015-12-01","Saudi Arabia","SAU","682","Asia","142","Western Asia","145","84824000","Needle Roller Bearings","Nos",0.02,0.17,0
"2019-09-01","Saudi Arabia","SAU","682","Asia","142","Western Asia","145","54078230","Polyester Shirtings","Sqm",34.38,19.66,0.03
"2017-05-01","Saudi Arabia","SAU","682","Asia","142","Western Asia","145","84543090","Other Casting Machines","Nos",0,7.4,0.01
"2018-08-01","Nepal","NPL","524","Asia","142","Southern Asia","34","85332119","Elctrcl Resistance Wire Bare Other Than Nichrome","Nos",10.34,5.16,0.01
"2016-07-01","Bahrain","BHR","48","Asia","142","Western Asia","145","62113200","Othr Grmnts Of Ctn For Mens Or Boys","Nos",8.72,96.06,0.14
"2024-10-01","Myanmar","MMR","104","Asia","142","South-eastern Asia","35","39131090","Other Alginic Acid Its Salts And Esters","Kgs",150,0,0
"2018-08-01","Nepal","NPL","524","Asia","142","Southern Asia","34","23021090","Othr By-Prdcts From The Working Of Maize Bran","Kgs",328,35.92,0.05
"2015-04-01","Myanmar","MMR","104","Asia","142","South-eastern Asia","35","85364900","Other Relays","Nos",0.02,2.21,0
"2016-08-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","29151290","Other Salts Of Formic Acid","Kgs",3.1,9.08,0.01
"2018-07-01","Saudi Arabia","SAU","682","Asia","142","Western Asia","145","63041910","Bedsheets And Bed Covers Of Cotton","Nos",79.55,260.37,0.38
"2016-07-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","90330000","Prts And Accessories Fr Machines,Appliances,Instruments/Apparatus Of Chapter 90,Nes","Kgs",3.29,46.79,0.07
"2024-08-01","Iraq","IRQ","368","Asia","142","Western Asia","145","87149510","Bicycle Saddles","Kgs",6387,0.1,0.01
"2024-08-01","Indonesia","IDN","360","Asia","142","South-eastern Asia","35","73079290","Non-Galvanised","Kgs",60,0,0
"2018-12-01","Oman","OMN","512","Asia","142","Western Asia","145","53050040","C0Ir Pith","Kgs",10.4,1.41,0
"2021-09-01","Taiwan, Province of China","TWN","158","Asia","142","Eastern Asia","30","82042000","Intrchangble Spaner Sokets,Wth Handl Or Nt","Kgs","",0.2,0
"2025-09-01","Maldives","MDV","462","Asia","142","Southern Asia","34","85235910","Proximity Cards And Tags","Nos",1000,0,0
"2018-12-01","Maldives","MDV","462","Asia","142","Southern Asia","34","84129090","Parts Of Other Engines And Motors","Kgs",1.6,10.91,0.02
"2024-11-01","Japan","JPN","392","Asia","142","Eastern Asia","30","39074000","Polycarbonates","Kgs",200,0,0
"2018-08-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","40059190","Other Plates Sheets And Strip","Kgs",0.09,0.06,""
"2025-10-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","29199090","Other Phasphrc Esters And Their Salts","Kgs",1200,0.11,0.01
"2015-10-01","Singapore","SGP","702","Asia","142","South-eastern Asia","35","13019043","Oleoresins Of Leaves","Kgs",0,0.01,""
"2025-09-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","52083220","Saree","Sqm",1726,0.02,0
"2021-10-01","Islamic Republic of Iran","IRN","364","Asia","142","Southern Asia","34","84149090","Others","Kgs",0.1,0.66,0
